Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
"Tue, Oct 22, 2019",8:00p,New Orleans Pelicans,122,Toronto Raptors,130,"['Box Score', '/boxscores/201910220TOR.html']",OT,"20,787",
"Tue, Oct 22, 2019",10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,"['Box Score', '/boxscores/201910220LAC.html']",,"19,068",
"Wed, Oct 23, 2019",7:00p,Chicago Bulls,125,Charlotte Hornets,126,"['Box Score', '/boxscores/201910230CHO.html']",,"15,424",
"Wed, Oct 23, 2019",7:00p,Detroit Pistons,119,Indiana Pacers,110,"['Box Score', '/boxscores/201910230IND.html']",,"17,923",
"Wed, Oct 23, 2019",7:00p,Cleveland Cavaliers,85,Orlando Magic,94,"['Box Score', '/boxscores/201910230ORL.html']",,"18,846",
"Wed, Oct 23, 2019",7:30p,Memphis Grizzlies,101,Miami Heat,120,"['Box Score', '/boxscores/201910230MIA.html']",,"19,600",
"Wed, Oct 23, 2019",7:30p,Boston Celtics,93,Philadelphia 76ers,107,"['Box Score', '/boxscores/201910230PHI.html']",,"20,422",
"Wed, Oct 23, 2019",7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,"['Box Score', '/boxscores/201910230BRK.html']",OT,"17,732",
"Wed, Oct 23, 2019",8:30p,Washington Wizards,100,Dallas Mavericks,108,"['Box Score', '/boxscores/201910230DAL.html']",,"19,816",
"Wed, Oct 23, 2019",8:30p,New York Knicks,111,San Antonio Spurs,120,"['Box Score', '/boxscores/201910230SAS.html']",,"18,354",
"Wed, Oct 23, 2019",9:00p,Oklahoma City Thunder,95,Utah Jazz,100,"['Box Score', '/boxscores/201910230UTA.html']",,"18,306",
"Wed, Oct 23, 2019",10:00p,Denver Nuggets,108,Portland Trail Blazers,100,"['Box Score', '/boxscores/201910230POR.html']",,"19,991",
"Wed, Oct 23, 2019",10:00p,Sacramento Kings,95,Phoenix Suns,124,"['Box Score', '/boxscores/201910230PHO.html']",,"18,055",
"Thu, Oct 24, 2019",7:00p,Atlanta Hawks,117,Detroit Pistons,100,"['Box Score', '/boxscores/201910240DET.html']",,"20,338",
"Thu, Oct 24, 2019",8:00p,Milwaukee Bucks,117,Houston Rockets,111,"['Box Score', '/boxscores/201910240HOU.html']",,"18,055",
"Thu, Oct 24, 2019",10:30p,Los Angeles Clippers,141,Golden State Warriors,122,"['Box Score', '/boxscores/201910240GSW.html']",,"18,064",
"Fri, Oct 25, 2019",7:00p,Toronto Raptors,106,Boston Celtics,112,"['Box Score', '/boxscores/201910250BOS.html']",,"18,624",
"Fri, Oct 25, 2019",7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,"['Box Score', '/boxscores/201910250CHO.html']",,"14,879",
"Fri, Oct 25, 2019",7:30p,New York Knicks,109,Brooklyn Nets,113,"['Box Score', '/boxscores/201910250BRK.html']",,"17,732",
"Fri, Oct 25, 2019",8:00p,Washington Wizards,97,Oklahoma City Thunder,85,"['Box Score', '/boxscores/201910250OKC.html']",,"18,203",
"Fri, Oct 25, 2019",8:00p,Chicago Bulls,110,Memphis Grizzlies,102,"['Box Score', '/boxscores/201910250MEM.html']",,"17,794",
"Fri, Oct 25, 2019",8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,"['Box Score', '/boxscores/201910250NOP.html']",,"17,027",
"Fri, Oct 25, 2019",9:00p,Phoenix Suns,107,Denver Nuggets,108,"['Box Score', '/boxscores/201910250DEN.html']",OT,"19,557",
"Fri, Oct 25, 2019",10:00p,Portland Trail Blazers,122,Sacramento Kings,112,"['Box Score', '/boxscores/201910250SAC.html']",,"17,583",
"Fri, Oct 25, 2019",10:30p,Utah Jazz,86,Los Angeles Lakers,95,"['Box Score', '/boxscores/201910250LAL.html']",,"18,997",
"Sat, Oct 26, 2019",5:00p,Miami Heat,131,Milwaukee Bucks,126,"['Box Score', '/boxscores/201910260MIL.html']",OT,"17,467",
"Sat, Oct 26, 2019",7:00p,Philadelphia 76ers,117,Detroit Pistons,111,"['Box Score', '/boxscores/201910260DET.html']",,"16,207",
"Sat, Oct 26, 2019",7:30p,Orlando Magic,99,Atlanta Hawks,103,"['Box Score', '/boxscores/201910260ATL.html']",,"17,078",
"Sat, Oct 26, 2019",7:30p,Boston Celtics,118,New York Knicks,95,"['Box Score', '/boxscores/201910260NYK.html']",,"19,812",
"Sat, Oct 26, 2019",8:00p,Toronto Raptors,108,Chicago Bulls,84,"['Box Score', '/boxscores/201910260CHI.html']",,"21,498",
"Sat, Oct 26, 2019",8:00p,Indiana Pacers,99,Cleveland Cavaliers,110,"['Box Score', '/boxscores/201910260CLE.html']",,"19,432",
"Sat, Oct 26, 2019",8:00p,New Orleans Pelicans,123,Houston Rockets,126,"['Box Score', '/boxscores/201910260HOU.html']",,"18,055",
"Sat, Oct 26, 2019",8:30p,Washington Wizards,122,San Antonio Spurs,124,"['Box Score', '/boxscores/201910260SAS.html']",,"18,354",
"Sat, Oct 26, 2019",9:00p,Sacramento Kings,81,Utah Jazz,113,"['Box Score', '/boxscores/201910260UTA.html']",,"18,306",
"Sat, Oct 26, 2019",10:00p,Los Angeles Clippers,122,Phoenix Suns,130,"['Box Score', '/boxscores/201910260PHO.html']",,"15,802",
"Sun, Oct 27, 2019",3:30p,Golden State Warriors,92,Oklahoma City Thunder,120,"['Box Score', '/boxscores/201910270OKC.html']",,"18,203",
"Sun, Oct 27, 2019",6:00p,Brooklyn Nets,133,Memphis Grizzlies,134,"['Box Score', '/boxscores/201910270MEM.html']",OT,"15,517",
"Sun, Oct 27, 2019",7:00p,Miami Heat,109,Minnesota Timberwolves,116,"['Box Score', '/boxscores/201910270MIN.html']",,"17,049",
"Sun, Oct 27, 2019",7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,"['Box Score', '/boxscores/201910270DAL.html']",,"19,707",
"Sun, Oct 27, 2019",9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,"['Box Score', '/boxscores/201910270LAL.html']",,"18,997",
"Mon, Oct 28, 2019",7:00p,Indiana Pacers,94,Detroit Pistons,96,"['Box Score', '/boxscores/201910280DET.html']",,"13,565",
"Mon, Oct 28, 2019",7:00p,Chicago Bulls,98,New York Knicks,105,"['Box Score', '/boxscores/201910280NYK.html']",,"19,812",
"Mon, Oct 28, 2019",7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,"['Box Score', '/boxscores/201910280ATL.html']",,"14,094",
"Mon, Oct 28, 2019",7:30p,Orlando Magic,95,Toronto Raptors,104,"['Box Score', '/boxscores/201910280TOR.html']",,"19,800",
"Mon, Oct 28, 2019",8:00p,Oklahoma City Thunder,112,Houston Rockets,116,"['Box Score', '/boxscores/201910280HOU.html']",,"18,055",
"Mon, Oct 28, 2019",8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,"['Box Score', '/boxscores/201910280MIL.html']",,"17,385",
"Mon, Oct 28, 2019",8:00p,Golden State Warriors,134,New Orleans Pelicans,123,"['Box Score', '/boxscores/201910280NOP.html']",,"17,307",
"Mon, Oct 28, 2019",8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,"['Box Score', '/boxscores/201910280SAS.html']",,"18,083",
"Mon, Oct 28, 2019",10:00p,Denver Nuggets,101,Sacramento Kings,94,"['Box Score', '/boxscores/201910280SAC.html']",,"15,870",
"Mon, Oct 28, 2019",10:00p,Utah Jazz,96,Phoenix Suns,95,"['Box Score', '/boxscores/201910280PHO.html']",,"14,805",
"Mon, Oct 28, 2019",10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,"['Box Score', '/boxscores/201910280LAC.html']",,"19,068",
"Tue, Oct 29, 2019",7:30p,Atlanta Hawks,97,Miami Heat,112,"['Box Score', '/boxscores/201910290MIA.html']",,"19,600",
"Tue, Oct 29, 2019",9:00p,Dallas Mavericks,109,Denver Nuggets,106,"['Box Score', '/boxscores/201910290DEN.html']",,"16,605",
"Tue, Oct 29, 2019",10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,"['Box Score', '/boxscores/201910290LAL.html']",,"18,997",
"Wed, Oct 30, 2019",7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,"['Box Score', '/boxscores/201910300CLE.html']",,"17,595",
"Wed, Oct 30, 2019",7:00p,Minnesota Timberwolves,95,Philadelphia 76ers,117,"['Box Score', '/boxscores/201910300PHI.html']",,"20,204",
"Wed, Oct 30, 2019",7:00p,New York Knicks,83,Orlando Magic,95,"['Box Score', '/boxscores/201910300ORL.html']",,"17,456",
"Wed, Oct 30, 2019",7:30p,Indiana Pacers,118,Brooklyn Nets,108,"['Box Score', '/boxscores/201910300BRK.html']",,"17,083",
"Wed, Oct 30, 2019",7:30p,Detroit Pistons,113,Toronto Raptors,125,"['Box Score', '/boxscores/201910300TOR.html']",,"19,800",
"Wed, Oct 30, 2019",7:30p,Milwaukee Bucks,105,Boston Celtics,116,"['Box Score', '/boxscores/201910300BOS.html']",,"18,624",
"Wed, Oct 30, 2019",8:00p,Portland Trail Blazers,102,Oklahoma City Thunder,99,"['Box Score', '/boxscores/201910300OKC.html']",,"18,203",
"Wed, Oct 30, 2019",8:00p,Houston Rockets,159,Washington Wizards,158,"['Box Score', '/boxscores/201910300WAS.html']",,"20,476",
"Wed, Oct 30, 2019",10:00p,Charlotte Hornets,118,Sacramento Kings,111,"['Box Score', '/boxscores/201910300SAC.html']",,"15,416",
"Wed, Oct 30, 2019",10:00p,Los Angeles Clippers,96,Utah Jazz,110,"['Box Score', '/boxscores/201910300UTA.html']",,"18,306",
"Wed, Oct 30, 2019",10:30p,Phoenix Suns,121,Golden State Warriors,110,"['Box Score', '/boxscores/201910300GSW.html']",,"18,064",
"Thu, Oct 31, 2019",7:00p,Miami Heat,106,Atlanta Hawks,97,"['Box Score', '/boxscores/201910310ATL.html']",,"16,539",
"Thu, Oct 31, 2019",9:30p,Denver Nuggets,107,New Orleans Pelicans,122,"['Box Score', '/boxscores/201910310NOP.html']",,"16,613",
"Thu, Oct 31, 2019",10:30p,San Antonio Spurs,97,Los Angeles Clippers,103,"['Box Score', '/boxscores/201910310LAC.html']",,"19,068",
Playoffs,,,,,,,,,
"Fri, Oct 2, 2020",9:00p,Miami Heat,114,Los Angeles Lakers,124,"['Box Score', '/boxscores/202010020LAL.html']",,,
"Sun, Oct 4, 2020",7:30p,Los Angeles Lakers,104,Miami Heat,115,"['Box Score', '/boxscores/202010040MIA.html']",,,
"Tue, Oct 6, 2020",9:00p,Los Angeles Lakers,,Miami Heat,,"['', None]",,,
"Fri, Oct 9, 2020",9:00p,Miami Heat,,Los Angeles Lakers,,"['', None]",,,
"Sun, Oct 11, 2020",,Los Angeles Lakers,,Miami Heat,,"['', None]",,,
"Tue, Oct 13, 2020",,Miami Heat,,Los Angeles Lakers,,"['', None]",,,
"Fri, Nov 1, 2019",7:00p,Houston Rockets,116,Brooklyn Nets,123,"['Box Score', '/boxscores/201911010BRK.html']",,"17,732",
"Fri, Nov 1, 2019",7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,"['Box Score', '/boxscores/201911010IND.html']",,"16,079",
"Fri, Nov 1, 2019",7:00p,Milwaukee Bucks,123,Orlando Magic,91,"['Box Score', '/boxscores/201911010ORL.html']",,"15,105",
"Fri, Nov 1, 2019",7:30p,New York Knicks,102,Boston Celtics,104,"['Box Score', '/boxscores/201911010BOS.html']",,"18,624",
"Fri, Nov 1, 2019",8:00p,Detroit Pistons,106,Chicago Bulls,112,"['Box Score', '/boxscores/201911010CHI.html']",,"20,671",
"Fri, Nov 1, 2019",9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,"['Box Score', '/boxscores/201911010DAL.html']",OT,"20,358",
"Fri, Nov 1, 2019",10:00p,Utah Jazz,101,Sacramento Kings,102,"['Box Score', '/boxscores/201911010SAC.html']",,"16,273",
"Fri, Nov 1, 2019",10:30p,San Antonio Spurs,127,Golden State Warriors,110,"['Box Score', '/boxscores/201911010GSW.html']",,"18,064",
"Sat, Nov 2, 2019",5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,"['Box Score', '/boxscores/201911020OKC.html']",,"18,203",
"Sat, Nov 2, 2019",7:00p,Brooklyn Nets,109,Detroit Pistons,113,"['Box Score', '/boxscores/201911020DET.html']",,"17,222",
"Sat, Nov 2, 2019",7:00p,Denver Nuggets,91,Orlando Magic,87,"['Box Score', '/boxscores/201911020ORL.html']",,"17,025",
"Sat, Nov 2, 2019",8:00p,Phoenix Suns,114,Memphis Grizzlies,105,"['Box Score', '/boxscores/201911020MEM.html']",,"14,144",
"Sat, Nov 2, 2019",8:00p,Toronto Raptors,105,Milwaukee Bucks,115,"['Box Score', '/boxscores/201911020MIL.html']",,"17,637",
"Sat, Nov 2, 2019",8:00p,Minnesota Timberwolves,131,Washington Wizards,109,"['Box Score', '/boxscores/201911020WAS.html']",,"15,150",
"Sat, Nov 2, 2019",8:30p,Charlotte Hornets,93,Golden State Warriors,87,"['Box Score', '/boxscores/201911020GSW.html']",,"18,064",
"Sat, Nov 2, 2019",10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,"['Box Score', '/boxscores/201911020POR.html']",,"19,669",
"Sun, Nov 3, 2019",5:00p,Chicago Bulls,95,Indiana Pacers,108,"['Box Score', '/boxscores/201911030IND.html']",,"17,073",
"Sun, Nov 3, 2019",6:00p,Houston Rockets,100,Miami Heat,129,"['Box Score', '/boxscores/201911030MIA.html']",,"19,724",
"Sun, Nov 3, 2019",6:00p,Sacramento Kings,113,New York Knicks,92,"['Box Score', '/boxscores/201911030NYK.html']",,"19,812",
"Sun, Nov 3, 2019",7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,"['Box Score', '/boxscores/201911030SAS.html']",,"18,610",
"Sun, Nov 3, 2019",7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,"['Box Score', '/boxscores/201911030CLE.html']",,"18,078",
"Sun, Nov 3, 2019",9:00p,Utah Jazz,94,Los Angeles Clippers,105,"['Box Score', '/boxscores/201911030LAC.html']",,"19,068",
"Mon, Nov 4, 2019",7:00p,Detroit Pistons,99,Washington Wizards,115,"['Box Score', '/boxscores/201911040WAS.html']",,"13,052",
"Mon, Nov 4, 2019",7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,"['Box Score', '/boxscores/201911040BRK.html']",,"17,194",
"Mon, Nov 4, 2019",8:00p,Houston Rockets,107,Memphis Grizzlies,100,"['Box Score', '/boxscores/201911040MEM.html']",,"14,197",
"Mon, Nov 4, 2019",8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,"['Box Score', '/boxscores/201911040MIN.html']",,"16,271",
"Mon, Nov 4, 2019",9:00p,Philadelphia 76ers,109,Phoenix Suns,114,"['Box Score', '/boxscores/201911040PHO.html']",,"14,285",
"Mon, Nov 4, 2019",10:30p,Portland Trail Blazers,118,Golden State Warriors,127,"['Box Score', '/boxscores/201911040GSW.html']",,"18,064",
"Tue, Nov 5, 2019",7:00p,Indiana Pacers,120,Charlotte Hornets,122,"['Box Score', '/boxscores/201911050CHO.html']",OT,"13,341",
"Tue, Nov 5, 2019",7:00p,Boston Celtics,119,Cleveland Cavaliers,113,"['Box Score', '/boxscores/201911050CLE.html']",,"17,709",
"Tue, Nov 5, 2019",7:30p,San Antonio Spurs,100,Atlanta Hawks,108,"['Box Score', '/boxscores/201911050ATL.html']",,"14,025",
"Tue, Nov 5, 2019",8:00p,Los Angeles Lakers,118,Chicago Bulls,112,"['Box Score', '/boxscores/201911050CHI.html']",,"21,193",
"Tue, Nov 5, 2019",8:00p,Orlando Magic,94,Oklahoma City Thunder,102,"['Box Score', '/boxscores/201911050OKC.html']",,"18,203",
"Tue, Nov 5, 2019",9:00p,Miami Heat,89,Denver Nuggets,109,"['Box Score', '/boxscores/201911050DEN.html']",,"18,010",
"Wed, Nov 6, 2019",7:00p,New York Knicks,102,Detroit Pistons,122,"['Box Score', '/boxscores/201911060DET.html']",,"15,463",
"Wed, Nov 6, 2019",7:00p,Washington Wizards,106,Indiana Pacers,121,"['Box Score', '/boxscores/201911060IND.html']",,"16,171",
"Wed, Nov 6, 2019",7:30p,Chicago Bulls,113,Atlanta Hawks,93,"['Box Score', '/boxscores/201911060ATL.html']",,"15,049",
"Wed, Nov 6, 2019",7:30p,Golden State Warriors,112,Houston Rockets,129,"['Box Score', '/boxscores/201911060HOU.html']",,"18,055",
"Wed, Nov 6, 2019",7:30p,Sacramento Kings,120,Toronto Raptors,124,"['Box Score', '/boxscores/201911060TOR.html']",,"19,800",
"Wed, Nov 6, 2019",8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,"['Box Score', '/boxscores/201911060MEM.html']",,"13,503",
"Wed, Nov 6, 2019",8:30p,Orlando Magic,106,Dallas Mavericks,107,"['Box Score', '/boxscores/201911060DAL.html']",,"19,487",
"Wed, Nov 6, 2019",9:00p,Philadelphia 76ers,104,Utah Jazz,106,"['Box Score', '/boxscores/201911060UTA.html']",,"18,306",
"Wed, Nov 6, 2019",10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,"['Box Score', '/boxscores/201911060LAC.html']",,"19,068",
"Thu, Nov 7, 2019",8:00p,Boston Celtics,108,Charlotte Hornets,87,"['Box Score', '/boxscores/201911070CHO.html']",,"18,487",
"Thu, Nov 7, 2019",8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,"['Box Score', '/boxscores/201911070SAS.html']",,"18,354",
"Thu, Nov 7, 2019",9:00p,Miami Heat,124,Phoenix Suns,108,"['Box Score', '/boxscores/201911070PHO.html']",,"15,498",
