Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
"Thu, Nov 7, 2019",10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,"['Box Score', '/boxscores/201911070LAC.html']",,"19,068",
"Fri, Nov 8, 2019",7:00p,Detroit Pistons,106,Indiana Pacers,112,"['Box Score', '/boxscores/201911080IND.html']",,"15,544",
"Fri, Nov 8, 2019",7:00p,Memphis Grizzlies,86,Orlando Magic,118,"['Box Score', '/boxscores/201911080ORL.html']",,"17,021",
"Fri, Nov 8, 2019",7:00p,Cleveland Cavaliers,113,Washington Wizards,100,"['Box Score', '/boxscores/201911080WAS.html']",,"16,946",
"Fri, Nov 8, 2019",7:30p,Sacramento Kings,121,Atlanta Hawks,109,"['Box Score', '/boxscores/201911080ATL.html']",,"16,447",
"Fri, Nov 8, 2019",8:00p,Golden State Warriors,119,Minnesota Timberwolves,125,"['Box Score', '/boxscores/201911080MIN.html']",OT,"15,647",
"Fri, Nov 8, 2019",8:00p,Toronto Raptors,122,New Orleans Pelicans,104,"['Box Score', '/boxscores/201911080NOP.html']",,"16,337",
"Fri, Nov 8, 2019",8:30p,New York Knicks,106,Dallas Mavericks,102,"['Box Score', '/boxscores/201911080DAL.html']",,"20,257",
"Fri, Nov 8, 2019",9:00p,Philadelphia 76ers,97,Denver Nuggets,100,"['Box Score', '/boxscores/201911080DEN.html']",,"19,520",
"Fri, Nov 8, 2019",9:00p,Milwaukee Bucks,100,Utah Jazz,103,"['Box Score', '/boxscores/201911080UTA.html']",,"18,306",
"Fri, Nov 8, 2019",10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,"['Box Score', '/boxscores/201911080POR.html']",,"20,089",
"Fri, Nov 8, 2019",10:30p,Miami Heat,80,Los Angeles Lakers,95,"['Box Score', '/boxscores/201911080LAL.html']",,"18,997",
"Sat, Nov 9, 2019",5:00p,Boston Celtics,135,San Antonio Spurs,115,"['Box Score', '/boxscores/201911090SAS.html']",,"18,354",
"Sat, Nov 9, 2019",7:00p,New Orleans Pelicans,115,Charlotte Hornets,110,"['Box Score', '/boxscores/201911090CHO.html']",,"18,513",
"Sat, Nov 9, 2019",8:00p,Houston Rockets,117,Chicago Bulls,94,"['Box Score', '/boxscores/201911090CHI.html']",,"20,482",
"Sat, Nov 9, 2019",8:00p,Dallas Mavericks,138,Memphis Grizzlies,122,"['Box Score', '/boxscores/201911090MEM.html']",,"15,753",
"Sat, Nov 9, 2019",8:00p,Golden State Warriors,108,Oklahoma City Thunder,114,"['Box Score', '/boxscores/201911090OKC.html']",,"18,203",
"Sun, Nov 10, 2019",3:30p,Denver Nuggets,100,Minnesota Timberwolves,98,"['Box Score', '/boxscores/201911100MIN.html']",OT,"13,553",
"Sun, Nov 10, 2019",6:00p,Indiana Pacers,109,Orlando Magic,102,"['Box Score', '/boxscores/201911100ORL.html']",,"17,118",
"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,106,Philadelphia 76ers,114,"['Box Score', '/boxscores/201911100PHI.html']",,"20,311",
"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,121,Oklahoma City Thunder,119,"['Box Score', '/boxscores/201911100OKC.html']",,"18,203",
"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,108,New York Knicks,87,"['Box Score', '/boxscores/201911100NYK.html']",,"19,812",
"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,112,Phoenix Suns,138,"['Box Score', '/boxscores/201911100PHO.html']",,"17,290",
"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,113,Portland Trail Blazers,124,"['Box Score', '/boxscores/201911100POR.html']",OT,"20,041",
"Sun, Nov 10, 2019",9:30p,Toronto Raptors,113,Los Angeles Lakers,104,"['Box Score', '/boxscores/201911100LAL.html']",,"18,997",
"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,120,Detroit Pistons,114,"['Box Score', '/boxscores/201911110DET.html']",,"12,526",
"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,106,Boston Celtics,116,"['Box Score', '/boxscores/201911110BOS.html']",,"18,624",
"Mon, Nov 11, 2019",7:30p,Memphis Grizzlies,113,San Antonio Spurs,109,"['Box Score', '/boxscores/201911110SAS.html']",,"18,627",
"Mon, Nov 11, 2019",8:00p,Houston Rockets,122,New Orleans Pelicans,116,"['Box Score', '/boxscores/201911110NOP.html']",,"16,695",
"Mon, Nov 11, 2019",10:30p,Utah Jazz,122,Golden State Warriors,108,"['Box Score', '/boxscores/201911110GSW.html']",,"18,064",
"Mon, Nov 11, 2019",10:30p,Toronto Raptors,88,Los Angeles Clippers,98,"['Box Score', '/boxscores/201911110LAC.html']",,"19,068",
"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,85,Indiana Pacers,111,"['Box Score', '/boxscores/201911120IND.html']",,"15,838",
"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,97,Philadelphia 76ers,98,"['Box Score', '/boxscores/201911120PHI.html']",,"20,294",
"Tue, Nov 12, 2019",7:30p,Detroit Pistons,108,Miami Heat,117,"['Box Score', '/boxscores/201911120MIA.html']",,"19,600",
"Tue, Nov 12, 2019",8:00p,New York Knicks,102,Chicago Bulls,120,"['Box Score', '/boxscores/201911120CHI.html']",,"18,668",
"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,125,Denver Nuggets,121,"['Box Score', '/boxscores/201911120DEN.html']",,"18,327",
"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,123,Phoenix Suns,115,"['Box Score', '/boxscores/201911120PHO.html']",,"18,055",
"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,114,Utah Jazz,119,"['Box Score', '/boxscores/201911120UTA.html']",,"18,306",
"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,99,Sacramento Kings,107,"['Box Score', '/boxscores/201911120SAC.html']",,"16,358",
"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,119,Charlotte Hornets,117,"['Box Score', '/boxscores/201911130CHO.html']",,"13,155",
"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,112,"['Box Score', '/boxscores/201911130ORL.html']",,"15,113",
"Wed, Nov 13, 2019",7:30p,Washington Wizards,133,Boston Celtics,140,"['Box Score', '/boxscores/201911130BOS.html']",,"19,156",
"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,93,Houston Rockets,102,"['Box Score', '/boxscores/201911130HOU.html']",,"18,055",
"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,114,Minnesota Timberwolves,129,"['Box Score', '/boxscores/201911130MIN.html']",,"11,581",
"Wed, Nov 13, 2019",10:00p,Golden State Warriors,94,Los Angeles Lakers,120,"['Box Score', '/boxscores/201911130LAL.html']",,"18,997",
"Wed, Nov 13, 2019",10:00p,Toronto Raptors,114,Portland Trail Blazers,106,"['Box Score', '/boxscores/201911130POR.html']",,"19,544",
"Thu, Nov 14, 2019",6:00p,Miami Heat,108,Cleveland Cavaliers,97,"['Box Score', '/boxscores/201911140CLE.html']",,"17,374",
"Thu, Nov 14, 2019",8:00p,Chicago Bulls,115,Milwaukee Bucks,124,"['Box Score', '/boxscores/201911140MIL.html']",,"17,627",
"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,127,New Orleans Pelicans,132,"['Box Score', '/boxscores/201911140NOP.html']",,"17,147",
"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,103,New York Knicks,106,"['Box Score', '/boxscores/201911140NYK.html']",,"19,812",
"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,112,Phoenix Suns,128,"['Box Score', '/boxscores/201911140PHO.html']",,"15,143",
"Thu, Nov 14, 2019",10:30p,Brooklyn Nets,93,Denver Nuggets,101,"['Box Score', '/boxscores/201911140DEN.html']",,"18,394",
"Fri, Nov 15, 2019",7:00p,Detroit Pistons,106,Charlotte Hornets,109,"['Box Score', '/boxscores/201911150CHO.html']",,"16,778",
"Fri, Nov 15, 2019",7:00p,San Antonio Spurs,109,Orlando Magic,111,"['Box Score', '/boxscores/201911150ORL.html']",,"16,296",
"Fri, Nov 15, 2019",8:00p,Indiana Pacers,102,Houston Rockets,111,"['Box Score', '/boxscores/201911150HOU.html']",,"18,055",
"Fri, Nov 15, 2019",8:00p,Utah Jazz,106,Memphis Grizzlies,107,"['Box Score', '/boxscores/201911150MEM.html']",,"16,422",
"Fri, Nov 15, 2019",8:00p,Washington Wizards,137,Minnesota Timberwolves,116,"['Box Score', '/boxscores/201911150MIN.html']",,"12,716",
"Fri, Nov 15, 2019",8:00p,Philadelphia 76ers,119,Oklahoma City Thunder,127,"['Box Score', '/boxscores/201911150OKC.html']",OT,"18,203",
"Fri, Nov 15, 2019",10:30p,Boston Celtics,105,Golden State Warriors,100,"['Box Score', '/boxscores/201911150GSW.html']",,"18,064",
"Fri, Nov 15, 2019",10:30p,Sacramento Kings,97,Los Angeles Lakers,99,"['Box Score', '/boxscores/201911150LAL.html']",,"18,997",
"Sat, Nov 16, 2019",6:00p,Brooklyn Nets,117,Chicago Bulls,111,"['Box Score', '/boxscores/201911160CHI.html']",,"19,148",
"Sat, Nov 16, 2019",7:00p,Milwaukee Bucks,102,Indiana Pacers,83,"['Box Score', '/boxscores/201911160IND.html']",,"17,024",
"Sat, Nov 16, 2019",7:30p,Charlotte Hornets,103,New York Knicks,102,"['Box Score', '/boxscores/201911160NYK.html']",,"19,401",
"Sat, Nov 16, 2019",8:00p,New Orleans Pelicans,94,Miami Heat,109,"['Box Score', '/boxscores/201911160MIA.html']",,"19,600",
"Sat, Nov 16, 2019",8:00p,Houston Rockets,125,Minnesota Timberwolves,105,"['Box Score', '/boxscores/201911160MIN.html']",,"18,978",
"Sat, Nov 16, 2019",8:30p,Toronto Raptors,102,Dallas Mavericks,110,"['Box Score', '/boxscores/201911160DAL.html']",,"19,926",
"Sat, Nov 16, 2019",8:30p,Portland Trail Blazers,121,San Antonio Spurs,116,"['Box Score', '/boxscores/201911160SAS.html']",,"18,534",
"Sat, Nov 16, 2019",10:30p,Atlanta Hawks,101,Los Angeles Clippers,150,"['Box Score', '/boxscores/201911160LAC.html']",,"19,068",
