Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
"Tue, Oct 24, 2017",7:30p,New York Knicks,89,Boston Celtics,110,"['Box Score', '/boxscores/201710240BOS.html']",,"18,624",
"Tue, Oct 24, 2017",8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,"['Box Score', '/boxscores/201710240MIN.html']",,"14,353",
"Tue, Oct 24, 2017",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,"['Box Score', '/boxscores/201710240POR.html']",,"19,446",
"Tue, Oct 24, 2017",10:30p,Utah Jazz,84,Los Angeles Clippers,102,"['Box Score', '/boxscores/201710240LAC.html']",,"16,607",
"Wed, Oct 25, 2017",7:00p,Denver Nuggets,93,Charlotte Hornets,110,"['Box Score', '/boxscores/201710250CHO.html']",,"14,253",
"Wed, Oct 25, 2017",7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,"['Box Score', '/boxscores/201710250DET.html']",,"13,790",
"Wed, Oct 25, 2017",7:00p,Houston Rockets,105,Philadelphia 76ers,104,"['Box Score', '/boxscores/201710250PHI.html']",,"20,682",
"Wed, Oct 25, 2017",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,"['Box Score', '/boxscores/201710250BRK.html']",,"17,732",
"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100,"['Box Score', '/boxscores/201710250MIA.html']",,"19,600",
"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,"['Box Score', '/boxscores/201710250OKC.html']",,"18,203",
"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,"['Box Score', '/boxscores/201710250DAL.html']",,"19,674",
"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97,"['Box Score', '/boxscores/201710250PHO.html']",,"16,022",
"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117,"['Box Score', '/boxscores/201710250GSW.html']",,"19,596",
"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102,"['Box Score', '/boxscores/201710250LAL.html']",OT,"18,996",
"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91,"['Box Score', '/boxscores/201710260CHI.html']",,"21,104",
"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,"['Box Score', '/boxscores/201710260MEM.html']",,"15,839",
"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89,"['Box Score', '/boxscores/201710260MIL.html']",,"11,046",
"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,"['Box Score', '/boxscores/201710260POR.html']",,"18,694",
"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106,"['Box Score', '/boxscores/201710260SAC.html']",,"17,583",
"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,"['Box Score', '/boxscores/201710270CHO.html']",,"17,339",
"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,"['Box Score', '/boxscores/201710270ORL.html']",,"17,337",
"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,"['Box Score', '/boxscores/201710270ATL.html']",,"16,220",
"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,"['Box Score', '/boxscores/201710270NYK.html']",,"19,812",
"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,"['Box Score', '/boxscores/201710270MIN.html']",,"17,620",
"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,"['Box Score', '/boxscores/201710270GSW.html']",,"19,596",
"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,"['Box Score', '/boxscores/201710270LAL.html']",,"17,876",
"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,"['Box Score', '/boxscores/201710280NOP.html']",,"18,539",
"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,"['Box Score', '/boxscores/201710280CHI.html']",,"21,706",
"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,"['Box Score', '/boxscores/201710280MEM.html']",,"17,033",
"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,"['Box Score', '/boxscores/201710280MIA.html']",,"19,600",
"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,"['Box Score', '/boxscores/201710280DAL.html']",,"19,567",
"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,"['Box Score', '/boxscores/201710280UTA.html']",,"18,306",
"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,"['Box Score', '/boxscores/201710280POR.html']",,"19,343",
"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,"['Box Score', '/boxscores/201710280LAC.html']",,"17,247",
"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,"['Box Score', '/boxscores/201710290ATL.html']",,"14,014",
"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,"['Box Score', '/boxscores/201710290IND.html']",,"15,013",
"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,"['Box Score', '/boxscores/201710290BRK.html']",,"14,854",
"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,"['Box Score', '/boxscores/201710290CHO.html']",,"15,531",
"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,"['Box Score', '/boxscores/201710290SAC.html']",,"17,583",
"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,"['Box Score', '/boxscores/201710290CLE.html']",,"20,562",
"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,"['Box Score', '/boxscores/201710290GSW.html']",,"19,596",
"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,"['Box Score', '/boxscores/201710300BOS.html']",,"18,624",
"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,"['Box Score', '/boxscores/201710300MIA.html']",OT,"19,600",
"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116,"['Box Score', '/boxscores/201710300NYK.html']",,"19,812",
"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107,"['Box Score', '/boxscores/201710300HOU.html']",,"16,714",
"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,"['Box Score', '/boxscores/201710300MEM.html']",,"15,771",
"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99,"['Box Score', '/boxscores/201710300NOP.html']",,"14,004",
"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,"['Box Score', '/boxscores/201710300UTA.html']",,"16,221",
"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,"['Box Score', '/boxscores/201710300POR.html']",,"18,505",
"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,"['Box Score', '/boxscores/201710300LAC.html']",,"19,068",
"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,"['Box Score', '/boxscores/201710310IND.html']",,"12,245",
"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,"['Box Score', '/boxscores/201710310BRK.html']",,"12,936",
"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,"['Box Score', '/boxscores/201710310MIL.html']",,"16,713",
"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,"['Box Score', '/boxscores/201710310LAL.html']",,"17,569",
"Wed, Nov 1, 2017",7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,"['Box Score', '/boxscores/201711010CHO.html']",,"15,655",
"Wed, Nov 1, 2017",7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,"['Box Score', '/boxscores/201711010CLE.html']",,"20,562",
"Wed, Nov 1, 2017",7:00p,Atlanta Hawks,109,Philadelphia 76ers,119,"['Box Score', '/boxscores/201711010PHI.html']",,"20,549",
"Wed, Nov 1, 2017",7:00p,Phoenix Suns,122,Washington Wizards,116,"['Box Score', '/boxscores/201711010WAS.html']",,"14,790",
"Wed, Nov 1, 2017",7:30p,Sacramento Kings,86,Boston Celtics,113,"['Box Score', '/boxscores/201711010BOS.html']",,"18,624",
"Wed, Nov 1, 2017",7:30p,Chicago Bulls,91,Miami Heat,97,"['Box Score', '/boxscores/201711010MIA.html']",,"19,600",
"Wed, Nov 1, 2017",8:00p,Orlando Magic,101,Memphis Grizzlies,99,"['Box Score', '/boxscores/201711010MEM.html']",,"15,434",
"Wed, Nov 1, 2017",8:00p,Minnesota Timberwolves,104,New Orleans Pelicans,98,"['Box Score', '/boxscores/201711010NOP.html']",,"14,788",
"Wed, Nov 1, 2017",8:00p,Houston Rockets,119,New York Knicks,97,"['Box Score', '/boxscores/201711010NYK.html']",,"18,320",
"Wed, Nov 1, 2017",9:00p,Toronto Raptors,111,Denver Nuggets,129,"['Box Score', '/boxscores/201711010DEN.html']",,"14,072",
"Wed, Nov 1, 2017",9:00p,Portland Trail Blazers,103,Utah Jazz,112,"['Box Score', '/boxscores/201711010UTA.html']",OT,"16,685",
"Wed, Nov 1, 2017",10:30p,Dallas Mavericks,98,Los Angeles Clippers,119,"['Box Score', '/boxscores/201711010LAC.html']",,"13,487",
"Thu, Nov 2, 2017",8:00p,Golden State Warriors,112,San Antonio Spurs,92,"['Box Score', '/boxscores/201711020SAS.html']",,"18,418",
"Thu, Nov 2, 2017",10:30p,Los Angeles Lakers,110,Portland Trail Blazers,113,"['Box Score', '/boxscores/201711020POR.html']",,"19,469",
"Fri, Nov 3, 2017",7:00p,Milwaukee Bucks,96,Detroit Pistons,105,"['Box Score', '/boxscores/201711030DET.html']",,"17,207",
"Fri, Nov 3, 2017",7:00p,Chicago Bulls,105,Orlando Magic,83,"['Box Score', '/boxscores/201711030ORL.html']",,"19,171",
"Fri, Nov 3, 2017",7:00p,Indiana Pacers,110,Philadelphia 76ers,121,"['Box Score', '/boxscores/201711030PHI.html']",,"20,668",
"Fri, Nov 3, 2017",7:00p,Cleveland Cavaliers,130,Washington Wizards,122,"['Box Score', '/boxscores/201711030WAS.html']",,"20,356",
"Fri, Nov 3, 2017",7:30p,Houston Rockets,119,Atlanta Hawks,104,"['Box Score', '/boxscores/201711030ATL.html']",,"14,087",
"Fri, Nov 3, 2017",7:30p,Phoenix Suns,107,New York Knicks,120,"['Box Score', '/boxscores/201711030NYK.html']",,"19,404",
"Fri, Nov 3, 2017",8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,"['Box Score', '/boxscores/201711030DAL.html']",,"19,894",
"Fri, Nov 3, 2017",8:30p,Charlotte Hornets,101,San Antonio Spurs,108,"['Box Score', '/boxscores/201711030SAS.html']",,"18,418",
"Fri, Nov 3, 2017",9:00p,Miami Heat,94,Denver Nuggets,95,"['Box Score', '/boxscores/201711030DEN.html']",,"15,317",
"Fri, Nov 3, 2017",9:00p,Toronto Raptors,109,Utah Jazz,100,"['Box Score', '/boxscores/201711030UTA.html']",,"16,258",
"Fri, Nov 3, 2017",9:30p,Boston Celtics,101,Oklahoma City Thunder,94,"['Box Score', '/boxscores/201711030OKC.html']",,"18,203",
"Fri, Nov 3, 2017",10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,"['Box Score', '/boxscores/201711030LAL.html']",,"18,997",
"Sat, Nov 4, 2017",3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,"['Box Score', '/boxscores/201711040LAC.html']",,"14,777",
"Sat, Nov 4, 2017",7:00p,Sacramento Kings,99,Detroit Pistons,108,"['Box Score', '/boxscores/201711040DET.html']",,"17,683",
"Sat, Nov 4, 2017",8:00p,New Orleans Pelicans,96,Chicago Bulls,90,"['Box Score', '/boxscores/201711040CHI.html']",OT,"21,254",
"Sat, Nov 4, 2017",8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,"['Box Score', '/boxscores/201711040MIN.html']",,"16,837",
"Sat, Nov 4, 2017",9:00p,Golden State Warriors,127,Denver Nuggets,108,"['Box Score', '/boxscores/201711040DEN.html']",,"19,711",
"Sun, Nov 5, 2017",3:00p,Atlanta Hawks,117,Cleveland Cavaliers,115,"['Box Score', '/boxscores/201711050CLE.html']",,"20,562",
"Sun, Nov 5, 2017",3:30p,Miami Heat,104,Los Angeles Clippers,101,"['Box Score', '/boxscores/201711050LAC.html']",,"15,676",
"Sun, Nov 5, 2017",6:00p,Boston Celtics,104,Orlando Magic,88,"['Box Score', '/boxscores/201711050ORL.html']",,"17,731",
"Sun, Nov 5, 2017",6:00p,Washington Wizards,107,Toronto Raptors,96,"['Box Score', '/boxscores/201711050TOR.html']",,"19,800",
"Sun, Nov 5, 2017",7:00p,Utah Jazz,110,Houston Rockets,137,"['Box Score', '/boxscores/201711050HOU.html']",,"16,914",
"Sun, Nov 5, 2017",7:00p,Phoenix Suns,95,San Antonio Spurs,112,"['Box Score', '/boxscores/201711050SAS.html']",,"18,038",
"Sun, Nov 5, 2017",7:30p,Indiana Pacers,101,New York Knicks,108,"['Box Score', '/boxscores/201711050NYK.html']",,"17,889",
"Sun, Nov 5, 2017",8:00p,Charlotte Hornets,94,Minnesota Timberwolves,112,"['Box Score', '/boxscores/201711050MIN.html']",,"14,124",
"Sun, Nov 5, 2017",9:00p,Oklahoma City Thunder,99,Portland Trail Blazers,103,"['Box Score', '/boxscores/201711050POR.html']",,"19,393",
"Sun, Nov 5, 2017",9:30p,Memphis Grizzlies,102,Los Angeles Lakers,107,"['Box Score', '/boxscores/201711050LAL.html']",,"18,997",
"Mon, Nov 6, 2017",7:30p,Boston Celtics,110,Atlanta Hawks,107,"['Box Score', '/boxscores/201711060ATL.html']",,"13,215",
"Mon, Nov 6, 2017",9:00p,Brooklyn Nets,98,Phoenix Suns,92,"['Box Score', '/boxscores/201711060PHO.html']",,"15,905",
"Mon, Nov 6, 2017",10:30p,Miami Heat,80,Golden State Warriors,97,"['Box Score', '/boxscores/201711060GSW.html']",,"19,596",
"Tue, Nov 7, 2017",7:00p,Milwaukee Bucks,119,Cleveland Cavaliers,124,"['Box Score', '/boxscores/201711070CLE.html']",,"20,562",
"Tue, Nov 7, 2017",7:00p,New Orleans Pelicans,117,Indiana Pacers,112,"['Box Score', '/boxscores/201711070IND.html']",,"15,014",
"Tue, Nov 7, 2017",7:00p,Dallas Mavericks,113,Washington Wizards,99,"['Box Score', '/boxscores/201711070WAS.html']",,"14,505",
"Tue, Nov 7, 2017",7:30p,Charlotte Hornets,113,New York Knicks,118,"['Box Score', '/boxscores/201711070NYK.html']",,"18,704",
"Tue, Nov 7, 2017",7:30p,Chicago Bulls,114,Toronto Raptors,119,"['Box Score', '/boxscores/201711070TOR.html']",,"19,800",
"Tue, Nov 7, 2017",8:30p,Los Angeles Clippers,107,San Antonio Spurs,120,"['Box Score', '/boxscores/201711070SAS.html']",,"18,418",
"Tue, Nov 7, 2017",9:00p,Brooklyn Nets,104,Denver Nuggets,112,"['Box Score', '/boxscores/201711070DEN.html']",,"14,058",
"Tue, Nov 7, 2017",9:00p,Philadelphia 76ers,104,Utah Jazz,97,"['Box Score', '/boxscores/201711070UTA.html']",,"16,063",
"Tue, Nov 7, 2017",10:00p,Memphis Grizzlies,98,Portland Trail Blazers,97,"['Box Score', '/boxscores/201711070POR.html']",,"18,692",
"Tue, Nov 7, 2017",10:00p,Oklahoma City Thunder,86,Sacramento Kings,94,"['Box Score', '/boxscores/201711070SAC.html']",,"17,583",
"Wed, Nov 8, 2017",7:00p,Indiana Pacers,97,Detroit Pistons,114,"['Box Score', '/boxscores/201711080DET.html']",,"14,407",
"Wed, Nov 8, 2017",7:00p,New York Knicks,99,Orlando Magic,112,"['Box Score', '/boxscores/201711080ORL.html']",,"18,803",
"Wed, Nov 8, 2017",8:00p,Los Angeles Lakers,96,Boston Celtics,107,"['Box Score', '/boxscores/201711080BOS.html']",,"18,624",
"Wed, Nov 8, 2017",9:00p,Miami Heat,126,Phoenix Suns,115,"['Box Score', '/boxscores/201711080PHO.html']",,"16,500",
"Wed, Nov 8, 2017",10:30p,Minnesota Timberwolves,101,Golden State Warriors,125,"['Box Score', '/boxscores/201711080GSW.html']",,"19,596",
"Thu, Nov 9, 2017",7:00p,Los Angeles Lakers,95,Washington Wizards,111,"['Box Score', '/boxscores/201711090WAS.html']",,"20,356",
"Thu, Nov 9, 2017",7:30p,New Orleans Pelicans,118,Toronto Raptors,122,"['Box Score', '/boxscores/201711090TOR.html']",,"19,800",
"Thu, Nov 9, 2017",8:00p,Cleveland Cavaliers,113,Houston Rockets,117,"['Box Score', '/boxscores/201711090HOU.html']",,"18,055",
"Thu, Nov 9, 2017",10:00p,Philadelphia 76ers,108,Sacramento Kings,109,"['Box Score', '/boxscores/201711090SAC.html']",,"17,583",
"Thu, Nov 9, 2017",10:30p,Oklahoma City Thunder,94,Denver Nuggets,102,"['Box Score', '/boxscores/201711090DEN.html']",,"19,520",
"Fri, Nov 10, 2017",7:00p,Atlanta Hawks,104,Detroit Pistons,111,"['Box Score', '/boxscores/201711100DET.html']",,"16,687",
"Fri, Nov 10, 2017",7:30p,Charlotte Hornets,87,Boston Celtics,90,"['Box Score', '/boxscores/201711100BOS.html']",,"18,624",
"Fri, Nov 10, 2017",8:00p,Indiana Pacers,105,Chicago Bulls,87,"['Box Score', '/boxscores/201711100CHI.html']",,"22,416",
"Fri, Nov 10, 2017",9:00p,Los Angeles Clippers,111,Oklahoma City Thunder,120,"['Box Score', '/boxscores/201711100OKC.html']",,"18,203",
"Fri, Nov 10, 2017",9:00p,Orlando Magic,128,Phoenix Suns,112,"['Box Score', '/boxscores/201711100PHO.html']",,"16,507",
"Fri, Nov 10, 2017",9:00p,Milwaukee Bucks,94,San Antonio Spurs,87,"['Box Score', '/boxscores/201711100SAS.html']",,"18,418",
"Fri, Nov 10, 2017",9:00p,Miami Heat,84,Utah Jazz,74,"['Box Score', '/boxscores/201711100UTA.html']",,"18,306",
"Fri, Nov 10, 2017",10:00p,Brooklyn Nets,101,Portland Trail Blazers,97,"['Box Score', '/boxscores/201711100POR.html']",,"19,393",
"Sat, Nov 11, 2017",7:00p,Los Angeles Clippers,103,New Orleans Pelicans,111,"['Box Score', '/boxscores/201711110NOP.html']",,"17,624",
"Sat, Nov 11, 2017",7:00p,Atlanta Hawks,94,Washington Wizards,113,"['Box Score', '/boxscores/201711110WAS.html']",,"17,260",
"Sat, Nov 11, 2017",8:00p,Memphis Grizzlies,96,Houston Rockets,111,"['Box Score', '/boxscores/201711110HOU.html']",,"18,055",
"Sat, Nov 11, 2017",8:00p,Sacramento Kings,91,New York Knicks,118,"['Box Score', '/boxscores/201711110NYK.html']",,"19,812",
"Sat, Nov 11, 2017",8:30p,Cleveland Cavaliers,111,Dallas Mavericks,104,"['Box Score', '/boxscores/201711110DAL.html']",,"20,378",
"Sat, Nov 11, 2017",8:30p,Philadelphia 76ers,114,Golden State Warriors,135,"['Box Score', '/boxscores/201711110GSW.html']",,"19,596",
"Sat, Nov 11, 2017",8:30p,Los Angeles Lakers,90,Milwaukee Bucks,98,"['Box Score', '/boxscores/201711110MIL.html']",,"18,717",
"Sat, Nov 11, 2017",8:30p,Chicago Bulls,94,San Antonio Spurs,133,"['Box Score', '/boxscores/201711110SAS.html']",,"18,418",
"Sat, Nov 11, 2017",9:00p,Orlando Magic,107,Denver Nuggets,125,"['Box Score', '/boxscores/201711110DEN.html']",,"16,688",
"Sat, Nov 11, 2017",9:00p,Minnesota Timberwolves,110,Phoenix Suns,118,"['Box Score', '/boxscores/201711110PHO.html']",,"16,910",
"Sat, Nov 11, 2017",9:00p,Brooklyn Nets,106,Utah Jazz,114,"['Box Score', '/boxscores/201711110UTA.html']",,"17,413",
