Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
"Tue, Oct 17, 2017",8:01p,Boston Celtics,99,Cleveland Cavaliers,102,"['Box Score', '/boxscores/201710170CLE.html']",,"20,562",
"Tue, Oct 17, 2017",10:30p,Houston Rockets,122,Golden State Warriors,121,"['Box Score', '/boxscores/201710170GSW.html']",,"19,596",
"Wed, Oct 18, 2017",7:00p,Charlotte Hornets,90,Detroit Pistons,102,"['Box Score', '/boxscores/201710180DET.html']",,"20,491",
"Wed, Oct 18, 2017",7:00p,Brooklyn Nets,131,Indiana Pacers,140,"['Box Score', '/boxscores/201710180IND.html']",,"15,008",
"Wed, Oct 18, 2017",7:00p,Miami Heat,109,Orlando Magic,116,"['Box Score', '/boxscores/201710180ORL.html']",,"18,846",
"Wed, Oct 18, 2017",7:00p,Philadelphia 76ers,115,Washington Wizards,120,"['Box Score', '/boxscores/201710180WAS.html']",,"20,356",
"Wed, Oct 18, 2017",7:30p,Milwaukee Bucks,108,Boston Celtics,100,"['Box Score', '/boxscores/201710180BOS.html']",,"18,624",
"Wed, Oct 18, 2017",8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,"['Box Score', '/boxscores/201710180MEM.html']",,"17,794",
"Wed, Oct 18, 2017",8:30p,Atlanta Hawks,117,Dallas Mavericks,111,"['Box Score', '/boxscores/201710180DAL.html']",,"19,709",
"Wed, Oct 18, 2017",9:00p,Denver Nuggets,96,Utah Jazz,106,"['Box Score', '/boxscores/201710180UTA.html']",,"17,588",
"Wed, Oct 18, 2017",9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,"['Box Score', '/boxscores/201710180SAS.html']",,"18,418",
"Wed, Oct 18, 2017",10:00p,Portland Trail Blazers,124,Phoenix Suns,76,"['Box Score', '/boxscores/201710180PHO.html']",,"18,055",
"Wed, Oct 18, 2017",10:00p,Houston Rockets,105,Sacramento Kings,100,"['Box Score', '/boxscores/201710180SAC.html']",,"17,583",
"Thu, Oct 19, 2017",7:30p,Chicago Bulls,100,Toronto Raptors,117,"['Box Score', '/boxscores/201710190TOR.html']",,"19,800",
"Thu, Oct 19, 2017",8:00p,New York Knicks,84,Oklahoma City Thunder,105,"['Box Score', '/boxscores/201710190OKC.html']",,"18,203",
"Thu, Oct 19, 2017",10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,"['Box Score', '/boxscores/201710190LAL.html']",,"18,997",
"Fri, Oct 20, 2017",7:00p,Atlanta Hawks,91,Charlotte Hornets,109,"['Box Score', '/boxscores/201710200CHO.html']",,"18,417",
"Fri, Oct 20, 2017",7:00p,Portland Trail Blazers,114,Indiana Pacers,96,"['Box Score', '/boxscores/201710200IND.html']",,"15,325",
"Fri, Oct 20, 2017",7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,"['Box Score', '/boxscores/201710200MIL.html']",,"18,717",
"Fri, Oct 20, 2017",7:00p,Boston Celtics,102,Philadelphia 76ers,92,"['Box Score', '/boxscores/201710200PHI.html']",,"20,816",
"Fri, Oct 20, 2017",7:00p,Detroit Pistons,111,Washington Wizards,115,"['Box Score', '/boxscores/201710200WAS.html']",,"16,337",
"Fri, Oct 20, 2017",7:30p,Orlando Magic,121,Brooklyn Nets,126,"['Box Score', '/boxscores/201710200BRK.html']",,"16,144",
"Fri, Oct 20, 2017",8:00p,Utah Jazz,97,Minnesota Timberwolves,100,"['Box Score', '/boxscores/201710200MIN.html']",,"18,978",
"Fri, Oct 20, 2017",8:30p,Sacramento Kings,93,Dallas Mavericks,88,"['Box Score', '/boxscores/201710200DAL.html']",,"19,273",
"Fri, Oct 20, 2017",9:30p,Golden State Warriors,128,New Orleans Pelicans,120,"['Box Score', '/boxscores/201710200NOP.html']",,"18,171",
"Fri, Oct 20, 2017",10:00p,Los Angeles Lakers,132,Phoenix Suns,130,"['Box Score', '/boxscores/201710200PHO.html']",,"18,055",
"Sat, Oct 21, 2017",7:30p,Philadelphia 76ers,94,Toronto Raptors,128,"['Box Score', '/boxscores/201710210TOR.html']",,"19,800",
"Sat, Oct 21, 2017",8:00p,San Antonio Spurs,87,Chicago Bulls,77,"['Box Score', '/boxscores/201710210CHI.html']",,"21,640",
"Sat, Oct 21, 2017",8:00p,Orlando Magic,114,Cleveland Cavaliers,93,"['Box Score', '/boxscores/201710210CLE.html']",,"20,562",
"Sat, Oct 21, 2017",8:00p,Dallas Mavericks,91,Houston Rockets,107,"['Box Score', '/boxscores/201710210HOU.html']",,"18,055",
"Sat, Oct 21, 2017",8:00p,Golden State Warriors,101,Memphis Grizzlies,111,"['Box Score', '/boxscores/201710210MEM.html']",,"17,794",
"Sat, Oct 21, 2017",8:00p,Indiana Pacers,108,Miami Heat,112,"['Box Score', '/boxscores/201710210MIA.html']",,"19,600",
"Sat, Oct 21, 2017",8:00p,Detroit Pistons,111,New York Knicks,107,"['Box Score', '/boxscores/201710210NYK.html']",,"19,812",
"Sat, Oct 21, 2017",8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,"['Box Score', '/boxscores/201710210MIL.html']",,"16,211",
"Sat, Oct 21, 2017",9:00p,Sacramento Kings,79,Denver Nuggets,96,"['Box Score', '/boxscores/201710210DEN.html']",,"19,520",
"Sat, Oct 21, 2017",9:00p,Oklahoma City Thunder,87,Utah Jazz,96,"['Box Score', '/boxscores/201710210UTA.html']",,"18,300",
"Sat, Oct 21, 2017",10:30p,Phoenix Suns,88,Los Angeles Clippers,130,"['Box Score', '/boxscores/201710210LAC.html']",,"19,068",
"Sun, Oct 22, 2017",3:30p,Atlanta Hawks,104,Brooklyn Nets,116,"['Box Score', '/boxscores/201710220BRK.html']",,"13,917",
"Sun, Oct 22, 2017",7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113,"['Box Score', '/boxscores/201710220OKC.html']",,"18,203",
"Sun, Oct 22, 2017",9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112,"['Box Score', '/boxscores/201710220LAL.html']",,"18,997",
"Mon, Oct 23, 2017",7:00p,Philadelphia 76ers,97,Detroit Pistons,86,"['Box Score', '/boxscores/201710230DET.html']",,"13,709",
"Mon, Oct 23, 2017",7:30p,Atlanta Hawks,93,Miami Heat,104,"['Box Score', '/boxscores/201710230MIA.html']",,"19,600",
"Mon, Oct 23, 2017",8:00p,Memphis Grizzlies,98,Houston Rockets,90,"['Box Score', '/boxscores/201710230HOU.html']",,"17,129",
"Mon, Oct 23, 2017",8:00p,Charlotte Hornets,94,Milwaukee Bucks,103,"['Box Score', '/boxscores/201710230MIL.html']",,"12,887",
"Mon, Oct 23, 2017",8:30p,Golden State Warriors,133,Dallas Mavericks,103,"['Box Score', '/boxscores/201710230DAL.html']",,"19,875",
"Mon, Oct 23, 2017",8:30p,Toronto Raptors,97,San Antonio Spurs,101,"['Box Score', '/boxscores/201710230SAS.html']",,"18,418",
"Mon, Oct 23, 2017",9:00p,Washington Wizards,109,Denver Nuggets,104,"['Box Score', '/boxscores/201710230DEN.html']",,"14,294",
"Mon, Oct 23, 2017",10:00p,Sacramento Kings,115,Phoenix Suns,117,"['Box Score', '/boxscores/201710230PHO.html']",,"14,903",
"Tue, Oct 24, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,"['Box Score', '/boxscores/201710240CLE.html']",,"20,562",
"Tue, Oct 24, 2017",7:00p,Brooklyn Nets,121,Orlando Magic,125,"['Box Score', '/boxscores/201710240ORL.html']",,"16,015",
